"test.Class","pred"
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
0,0.0015
